Definition,Relation
accessible format copy,accessible format copy is a hyponym of copy
authorised entity established in a Member State,authorised entity established in a Member State is a hyponym of entity
beneficiary person,beneficiary person is a hyponym of other disabilities
beneficiary person,beneficiary person is a hyponym of person
work or other subject matter,work or other subject matter is a hyponym of work
